9,8,66
7,8,63
7,11,61
6,7,66
6,22,87
14,10,62
12,10,61
3,11,60
8,9,62
10,7,61
15,7,61
19,7,61
21,8,59
19,7,61
21,6,60
14,5,60
9,7,59
8,11,61
1,3,52
13,8,48
50,7,53
40,16,45
51,13,39
58,17,39
55,19,35
53,16,38
53,19,40
52,15,34
44,17,34
44,19,38
56,27,42
57,27,36
57,26,37
60,26,33
43,26,23
54,25,27
49,23,23
52,18,16
51,16,16
65,3,21
62,2,26
53,2,27
48,-2,34
48,-3,39
47,-5,45
50,-8,50
35,-13,44
11,-11,57
3,-9,59
0,3,61
-3,11,60
0,15,57
-4,17,51
3,17,54
0,15,61
-2,16,61
7,17,69
9,13,64
7,11,60
12,10,61
12,9,61
17,9,60
18,9,60
19,10,60
21,11,59
21,11,59
21,9,60
21,9,59
20,9,59
18,9,60
17,10,58
17,10,58
17,10,59
18,10,58
19,9,59
20,9,60
20,9,59
20,9,59
20,9,58
19,10,59
20,10,59
20,10,59
20,10,59
19,11,57
18,12,56
20,11,59
20,10,62
20,10,61
19,11,57
19,11,58
19,10,57
17,11,57
18,12,58
20,12,59
21,11,59
21,11,57
24,10,59
21,10,58
21,12,57
21,11,60
20,10,60
18,11,58
18,11,58
19,11,58
19,11,57
20,11,59
19,12,58
18,12,56
19,12,59
20,12,59
19,11,58
19,11,58
19,11,59
20,11,59
20,11,60
20,11,59
20,11,58
20,11,59
21,12,59
20,12,58
19,12,57
18,12,58
18,13,58
18,12,58
18,12,59
18,12,58
19,12,58
19,12,58
19,12,58
19,12,58
19,12,59
19,12,58
19,12,58
19,12,58
19,12,59
19,11,59
18,12,59
19,12,59
19,12,59
19,13,57
20,13,57
19,13,57
18,12,57
18,12,58
19,11,59
18,10,59
19,10,60
20,10,59
20,10,59
19,10,59
20,10,59
20,10,59
20,10,59
19,10,59
20,10,58
19,11,59
19,11,59
20,11,58
19,11,59
20,11,58
20,12,58
18,12,58
20,12,58
19,12,58
20,12,59
20,12,57
20,12,58
20,12,58
19,12,58
20,12,57
20,13,58
19,12,58
19,13,58
19,13,57
20,12,59
20,12,58
21,11,58
21,12,57
20,11,58
20,11,58
19,12,58
19,11,58
19,11,58
20,11,59
19,10,60
19,11,59
19,11,58
19,11,58
19,11,58
18,11,58
19,11,59
20,10,59
17,11,58
19,11,59
17,11,59
18,11,59
18,11,59
18,11,59
17,11,59
17,11,59
18,12,58
18,12,58
18,11,58
18,12,59
18,11,59
18,11,59
18,11,59
18,11,59
18,11,59
18,11,59
18,11,59
18,11,59
18,11,59
17,11,59
18,11,59
18,11,59
18,11,59
18,11,59
18,11,59
18,11,59
19,11,59
18,11,59
18,12,59
18,12,59
18,12,59
